district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,11,01,1698,109,95,23,359,621,200,150,141,784,1161
01,01,11,02,75,6,3,0,12,36,12,3,3,27,63
01,01,11,03,3180,243,357,98,506,1046,368,320,242,1423,2103
01,01,11,04,2908,228,326,104,597,996,324,196,137,1365,1689
01,01,11,05,622,66,45,18,62,218,109,67,37,301,453
01,01,12,01,1000,63,108,30,143,336,123,129,68,464,648
01,01,12,02,245,21,37,10,30,102,18,18,9,125,183
01,01,12,03,481,33,30,9,69,187,78,51,24,241,355
01,01,12,04,2776,200,256,64,364,1072,360,252,208,1395,1826
01,01,13,01,2314,208,139,19,315,1179,251,110,93,1137,1662
01,01,13,02,4439,329,451,87,575,2176,527,185,109,2189,3047
01,01,13,03,3518,254,235,71,618,1667,368,210,95,1628,2534
01,01,13,04,2771,268,307,99,448,982,365,175,127,1391,1711
01,01,13,05,2304,207,211,63,290,987,326,127,93,1066,1476
01,01,13,06,3145,287,264,90,539,1315,358,183,109,1536,2023
01,01,14,01,5833,551,528,108,794,2997,548,196,111,2916,4184
01,01,14,02,4479,451,350,49,506,2488,409,136,90,2267,3117
01,02,21,01,1750,149,134,52,352,617,221,129,96,798,1204
01,02,21,02,3655,294,333,110,542,1378,466,304,228,1664,2520
01,02,21,03,165,19,26,6,16,56,18,18,6,76,118
01,02,21,04,8443,632,798,220,1262,3055,1140,738,598,3942,5339
01,02,21,05,2967,253,342,114,493,972,380,225,188,1394,1829
01,02,21,06,3872,301,395,142,520,1428,474,351,261,1892,2288
01,02,22,01,5097,436,464,161,860,1882,664,352,278,2404,3110
01,02,22,02,976,92,147,54,147,285,121,57,73,486,490
01,02,22,03,3925,341,516,164,542,1207,472,314,369,1957,2222
01,02,22,04,2225,155,216,50,339,843,305,179,138,1046,1407
01,02,22,05,1837,171,269,109,196,554,221,156,161,922,952
01,02,22,06,1150,107,129,20,135,408,158,109,84,555,615
01,02,22,07,2420,132,140,66,707,787,243,184,161,1164,1693
01,03,31,01,15905,1619,1998,695,2566,5172,1977,1008,870,7374,10434
01,03,31,02,6902,629,889,293,1063,2238,883,469,438,3266,4306
01,03,32,01,8438,864,1394,393,1031,2496,1040,652,568,4146,3921
