district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
01,01,11,01,3420,100.0,2069,60.5,1993,58.3,1351,39.5,642,18.8,1427,41.7
01,01,11,02,186,100.0,78,41.9,123,66.1,108,58.1,15,8.1,63,33.9
01,01,11,03,5083,100.0,2922,57.5,3309,65.1,2161,42.5,1148,22.6,1774,34.9
01,01,11,04,4641,100.0,3010,64.9,2830,61.0,1631,35.1,1199,25.8,1811,39.0
01,01,11,05,1531,100.0,1002,65.4,782,51.1,529,34.6,253,16.5,749,48.9
01,01,12,01,2403,100.0,1438,59.8,1399,58.2,965,40.2,434,18.1,1004,41.8
01,01,12,02,648,100.0,326,50.3,411,63.4,322,49.7,89,13.7,237,36.6
01,01,12,03,1133,100.0,604,53.3,721,63.6,529,46.7,192,16.9,412,36.4
01,01,12,04,8376,100.0,4232,50.5,5538,66.1,4144,49.5,1394,16.6,2838,33.9
01,01,13,01,6899,100.0,2952,42.8,4816,69.8,3947,57.2,869,12.6,2083,30.2
01,01,13,02,12597,100.0,5108,40.5,9135,72.5,7489,59.5,1646,13.1,3462,27.5
01,01,13,03,10054,100.0,4846,48.2,6517,64.8,5208,51.8,1309,13.0,3537,35.2
01,01,13,04,8732,100.0,3675,42.1,6442,73.8,5057,57.9,1385,15.9,2290,26.2
01,01,13,05,8529,100.0,3484,40.8,6204,72.7,5045,59.2,1159,13.6,2325,27.3
01,01,13,06,10721,100.0,4754,44.3,7502,70.0,5967,55.7,1535,14.3,3219,30.0
01,01,14,01,18141,100.0,7991,44.0,12362,68.1,10150,56.0,2212,12.2,5779,31.9
01,01,14,02,13699,100.0,5550,40.5,9920,72.4,8149,59.5,1771,12.9,3779,27.6
01,02,21,01,3626,100.0,1992,54.9,2235,61.6,1634,45.1,601,16.6,1391,38.4
01,02,21,02,6795,100.0,4198,61.8,3878,57.1,2597,38.2,1281,18.9,2917,42.9
01,02,21,03,261,100.0,203,77.8,110,42.1,58,22.2,52,19.9,151,57.9
01,02,21,04,18855,100.0,9539,50.6,12653,67.1,9316,49.4,3337,17.7,6202,32.9
01,02,21,05,5359,100.0,3154,58.9,3363,62.8,2205,41.1,1158,21.6,1996,37.2
01,02,21,06,11404,100.0,4058,35.6,9066,79.5,7346,64.4,1720,15.1,2338,20.5
01,02,22,01,10976,100.0,5549,50.6,7529,68.6,5427,49.4,2102,19.2,3447,31.4
01,02,22,02,2777,100.0,1744,62.8,1768,63.7,1033,37.2,735,26.5,1009,36.3
01,02,22,03,7065,100.0,4230,59.9,4679,66.2,2835,40.1,1844,26.1,2386,33.8
01,02,22,04,6085,100.0,2639,43.4,4457,73.2,3446,56.6,1011,16.6,1628,26.8
01,02,22,05,3333,100.0,2117,63.5,2224,66.7,1216,36.5,1008,30.2,1109,33.3
01,02,22,06,2976,100.0,1223,41.1,2330,78.3,1753,58.9,577,19.4,646,21.7
01,02,22,07,5786,100.0,2734,47.3,3800,65.7,3052,52.7,748,12.9,1986,34.3
01,03,31,01,27024,100.0,17167,63.5,15684,58.0,9857,36.5,5827,21.6,11340,42.0
01,03,31,02,11989,100.0,7417,61.9,7324,61.1,4572,38.1,2752,23.0,4665,38.9
01,03,32,01,14243,100.0,9576,67.2,9752,68.5,4667,32.8,5085,35.7,4491,31.5
01,03,32,02,10346,100.0,6024,58.2,7339,70.9,4322,41.8,3017,29.2,3007,29.1
01,03,32,03,14710,100.0,9479,64.4,8780,59.7,5231,35.6,3549,24.1,5930,40.3
01,04,41,01,20950,100.0,10355,49.4,14354,68.5,10595,50.6,3759,17.9,6596,31.5
01,04,41,02,16544,100.0,6854,41.4,12507,75.6,9690,58.6,2817,17.0,4037,24.4
01,04,41,03,8766,100.0,4718,53.8,5480,62.5,4048,46.2,1432,16.3,3286,37.5
01,04,42,01,24209,100.0,16597,68.6,13556,56.0,7612,31.4,5944,24.6,10653,44.0
01,04,42,02,17071,100.0,10048,58.9,10053,58.9,7023,41.1,3030,17.7,7018,41.1
01,04,42,03,16229,100.0,9739,60.0,9781,60.3,6490,40.0,3291,20.3,6448,39.7
02,01,01,01,6869,100.0,4924,71.7,3838,55.9,1945,28.3,1893,27.6,3031,44.1
02,01,01,02,13661,100.0,9327,68.3,9108,66.7,4334,31.7,4774,34.9,4553,33.3
02,01,01,03,15142,100.0,10715,70.8,9782,64.6,4427,29.2,5355,35.4,5360,35.4
02,01,01,04,5052,100.0,3279,64.9,3427,67.8,1773,35.1,1654,32.7,1625,32.2
02,02,02,01,1834,100.0,699,38.1,1446,78.8,1135,61.9,311,17.0,388,21.2
02,02,02,02,6116,100.0,2723,44.5,4350,71.1,3393,55.5,957,15.6,1766,28.9
02,02,02,03,11020,100.0,4422,40.1,8288,75.2,6598,59.9,1690,15.3,2732,24.8
02,02,02,04,12659,100.0,5450,43.1,9210,72.8,7209,56.9,2001,15.8,3449,27.2
02,02,02,05,14989,100.0,6207,41.4,11278,75.2,8782,58.6,2496,16.7,3711,24.8
02,02,02,06,19017,100.0,8876,46.7,13741,72.3,10141,53.3,3600,18.9,5276,27.7
02,03,03,01,8984,100.0,5698,63.4,5562,61.9,3286,36.6,2276,25.3,3422,38.1
02,03,03,02,13117,100.0,7134,54.4,8868,67.6,5983,45.6,2885,22.0,4249,32.4
02,03,04,01,15261,100.0,7568,49.6,10391,68.1,7693,50.4,2698,17.7,4870,31.9
02,03,04,02,11141,100.0,5685,51.0,7421,66.6,5456,49.0,1965,17.6,3720,33.4
02,04,05,01,5372,100.0,1554,28.9,4513,84.0,3818,71.1,695,12.9,859,16.0
02,04,05,02,7493,100.0,2347,31.3,5992,80.0,5146,68.7,846,11.3,1501,20.0
02,04,05,03,11244,100.0,3139,27.9,9210,81.9,8105,72.1,1105,9.8,2034,18.1
02,04,07,01,13324,100.0,5786,43.4,9557,71.7,7538,56.6,2019,15.2,3767,28.3
02,04,07,02,11038,100.0,3261,29.5,8785,79.6,7777,70.5,1008,9.1,2253,20.4
02,04,07,03,1135,100.0,789,69.5,444,39.1,346,30.5,98,8.6,691,60.9
02,05,06,01,9191,100.0,2966,32.3,7095,77.2,6225,67.7,870,9.5,2096,22.8
02,05,06,02,21793,100.0,6967,32.0,16929,77.7,14826,68.0,2103,9.6,4864,22.3
02,05,08,01,20500,100.0,7491,36.5,15107,73.7,13009,63.5,2098,10.2,5393,26.3
02,05,08,02,21376,100.0,7147,33.4,16138,75.5,14229,66.6,1909,8.9,5238,24.5
02,05,08,03,7652,100.0,2715,35.5,5734,74.9,4937,64.5,797,10.4,1918,25.1
