district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
01,01,11,01,3419,156,143,28,442,1162,360,377,751,1623,1387
01,01,11,02,192,6,6,4,19,68,25,36,28,71,73
01,01,11,03,5211,264,306,102,604,1578,638,740,979,2428,1853
01,01,11,04,4636,256,410,112,779,1629,584,500,366,2073,1787
01,01,11,05,1599,92,88,43,137,603,235,204,197,717,836
01,01,12,01,2573,109,139,51,316,827,338,349,444,1216,1134
01,01,12,02,646,42,23,19,63,210,107,95,87,305,228
01,01,12,03,1157,66,86,16,93,430,158,141,167,547,425
01,01,12,04,8312,472,433,125,709,2961,1002,1010,1600,4060,2814
01,01,13,01,6967,446,423,78,655,2998,1011,658,698,3367,2153
01,01,13,02,12352,694,973,317,1067,4620,2202,1443,1036,5998,3308
01,01,13,03,9903,474,528,120,1119,3913,1229,1005,1515,4690,3470
01,01,13,04,9013,500,631,192,878,2522,837,939,2514,4724,2656
01,01,13,05,9422,554,475,113,846,3461,1063,993,1917,4634,2765
01,01,13,06,10779,628,568,138,1480,3812,1311,1230,1612,5272,3347
01,01,14,01,17771,1216,1422,329,1631,7670,2906,1567,1030,8778,5438
01,01,14,02,13443,934,1174,238,1055,5758,2379,1080,825,6677,3619
01,02,21,01,3450,197,219,70,479,1405,402,396,282,1562,1299
01,02,21,02,6866,362,423,134,1213,2649,775,687,623,3118,2987
01,02,21,03,275,15,46,19,39,73,35,27,21,128,174
01,02,21,04,18536,951,1177,369,2467,6906,2191,2153,2322,8709,6063
01,02,21,05,5235,300,379,129,805,1904,602,556,560,2399,1920
01,02,21,06,11333,569,678,233,1218,3456,1429,1693,2057,5734,2267
01,02,22,01,10825,649,722,207,1532,4348,1265,1104,998,5054,3320
01,02,22,02,5178,429,299,76,719,2704,423,254,274,2440,2340
01,02,22,03,6976,434,606,184,916,2238,832,717,1049,3402,2374
01,02,22,04,5935,314,369,100,612,2006,800,718,1016,2917,1527
01,02,22,05,3280,261,370,104,380,870,375,391,529,1612,1090
01,02,22,06,3132,129,207,72,303,1068,474,414,465,1480,713
01,02,22,07,5807,187,246,81,973,1703,625,697,1295,2791,1978
01,03,31,01,26381,1880,2569,772,3747,9002,3120,2571,2720,12573,10845
01,03,31,02,11665,731,1013,322,1694,4039,1483,1151,1232,5625,4419
01,03,32,01,14193,1118,1654,465,1708,4376,1691,1416,1765,7083,4303
01,03,32,02,10443,683,945,281,1425,2952,1180,1213,1764,5294,3156
01,03,32,03,14657,901,1308,447,2281,5083,1769,1415,1453,6815,5852
01,04,41,01,20529,1129,1389,414,2480,7016,2493,2503,3105,9897,6462
01,04,41,02,16506,985,1064,317,1686,4847,1833,2080,3694,8557,4166
01,04,41,03,8643,468,503,194,1283,3376,1042,960,817,4215,3166
01,04,42,01,23685,1532,2061,690,3486,8312,2889,2341,2374,11223,10177
01,04,42,02,16648,903,1059,301,2842,6941,1787,1528,1287,7701,6754
01,04,42,03,15787,827,1138,394,2031,5696,1872,1737,2092,7516,6206
02,01,01,01,6281,365,492,181,843,2332,795,664,609,2928,2540
02,01,01,02,14029,898,1431,462,1849,4347,1777,1504,1761,6950,4759
02,01,01,03,15171,953,1473,481,1910,4463,2127,1796,1968,7538,5403
02,01,01,04,5009,280,522,175,609,1459,651,652,661,2499,1598
02,02,02,01,2067,183,190,33,140,800,220,191,310,1018,480
02,02,02,02,6008,336,477,155,650,2080,817,788,705,2920,1691
02,02,02,03,10969,716,798,203,1002,4091,1565,1386,1208,5351,2727
02,02,02,04,12384,697,837,250,1208,4693,1737,1647,1315,5987,3433
02,02,02,05,14760,792,937,316,1403,5136,2228,2228,1720,7356,3644
02,02,02,06,18886,1156,1419,432,1763,7055,2660,2388,2013,9410,5339
02,03,03,01,8775,401,636,253,943,2930,1379,1138,1095,4177,3272
02,03,03,02,12938,691,971,310,1334,4568,1914,1687,1463,6241,4261
02,03,04,01,14955,798,1029,290,1365,5992,2223,1778,1480,7188,4762
02,03,04,02,10903,593,686,209,1082,4458,1596,1265,1014,5161,3634
02,04,05,01,5451,255,393,108,422,1281,604,714,1674,2857,964
02,04,05,02,7858,493,496,121,760,3070,859,785,1274,3969,1679
02,04,05,03,11262,806,716,148,931,4940,1401,947,1373,5629,2132
02,04,07,01,13307,868,786,228,1614,4617,1332,1289,2573,6720,3936
02,04,07,02,11314,537,696,166,1383,4774,1448,1069,1241,5369,2707
02,04,07,03,1136,72,110,25,151,626,71,56,25,514,691
02,05,06,01,9134,584,563,106,860,4847,1051,611,512,4281,2295
02,05,06,02,22173,1531,1509,374,1957,11218,2864,1585,1135,10692,5259
02,05,08,01,20872,1480,1344,309,2150,10878,2429,1347,935,9957,5880
02,05,08,02,21568,1341,1263,269,2192,11500,2861,1327,815,10211,5626
02,05,08,03,7868,490,446,89,882,4057,815,556,533,3688,2149
02,05,08,04,4709,503,448,95,229,1715,769,443,507,2323,502
03,01,01,01,4305,374,385,69,306,1331,584,572,684,2049,470
03,01,01,02,12165,880,1080,313,1045,3026,1229,1443,3149,6350,1842
03,01,01,04,222,15,21,10,24,81,32,35,4,86,33
03,02,02,03,2058,90,193,43,102,353,344,389,544,1002,47
