district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,10,01,01,2426,547,39,42,83,30,64,78,35,22,22,36,73,6,23,528,174,188,22,522,135,54,222,18,39,18,41,95
01,10,01,02,1443,327,28,12,57,31,19,51,34,9,4,43,28,3,12,349,191,88,12,415,85,31,243,3,32,6,54,34
01,10,01,03,3517,997,158,41,96,27,64,196,73,135,29,83,171,30,83,572,236,170,47,1002,346,86,408,63,100,24,97,117
01,10,01,04,3326,675,97,31,81,40,44,114,50,50,26,42,115,44,26,427,175,152,6,1224,361,85,584,142,141,31,65,241
01,10,02,05,2012,493,45,27,61,27,39,51,91,13,6,32,29,3,13,450,216,132,13,421,95,42,232,36,28,45,53,40
01,10,02,06,1051,285,34,15,34,30,49,13,21,10,0,34,16,0,16,373,206,85,9,141,53,6,37,9,3,12,46,19
01,10,02,07,5010,1238,89,57,151,54,78,199,215,69,21,87,139,38,33,1123,561,300,53,1162,277,72,575,51,199,207,132,184
01,10,03,08,3714,1234,143,44,164,98,113,165,42,92,20,130,83,18,24,628,275,167,27,543,126,64,231,18,42,47,191,81
01,10,03,09,5553,1898,259,62,339,167,167,218,105,70,33,254,163,16,62,836,347,289,30,880,238,73,383,24,126,108,390,110
01,10,03,10,5464,1480,175,68,220,85,143,197,117,63,34,163,150,20,47,789,296,239,37,1212,228,85,664,51,254,355,197,142
01,10,03,11,5174,930,89,46,137,20,121,117,97,58,12,74,215,30,47,603,225,176,40,1430,392,63,664,35,263,795,206,167
01,10,03,12,5202,1137,91,40,167,73,109,150,102,56,21,111,77,10,30,990,477,258,39,1285,315,68,615,59,199,153,129,194
01,10,03,13,5827,1584,200,83,242,66,140,233,101,86,34,125,223,33,56,698,225,275,32,1412,673,63,411,48,105,176,344,289
01,10,04,14,3287,866,77,25,110,80,87,152,29,77,32,72,99,22,26,614,258,146,19,797,198,78,315,18,61,40,104,74
01,10,04,15,6225,2111,305,104,310,187,189,216,80,69,36,276,136,12,40,1029,344,426,29,1014,224,95,429,29,167,100,354,131
01,10,04,16,6016,2241,319,113,418,184,233,211,72,70,42,360,150,28,34,778,269,283,27,758,192,67,288,27,54,67,520,83
01,20,05,17,2435,730,59,31,49,22,26,222,134,81,28,29,148,42,50,220,71,85,6,885,186,53,445,159,97,50,44,102
01,20,05,18,4534,1266,90,82,149,33,62,299,196,76,59,63,330,58,103,312,87,125,4,1649,600,49,696,147,149,35,61,208
01,20,05,19,5519,1487,138,73,145,63,77,352,147,115,99,91,439,59,146,483,138,222,19,1849,548,59,966,254,255,55,91,284
01,20,05,20,4728,1276,121,72,174,53,81,311,99,74,85,91,324,52,108,395,122,167,17,1577,731,86,487,118,114,57,111,283
01,20,05,21,3289,880,57,47,104,22,46,145,260,62,34,43,148,18,86,297,69,145,3,1365,488,47,608,206,157,18,55,161
01,20,05,22,4509,1395,156,67,137,83,117,240,119,141,72,130,235,46,64,528,176,209,29,1212,389,88,484,105,126,15,110,181
01,20,06,23,5892,1674,170,85,214,80,97,361,159,118,61,104,311,75,82,566,169,220,25,2098,916,117,704,121,196,24,122,331
01,20,06,24,4766,933,63,45,164,60,77,165,52,52,25,97,114,9,32,733,366,201,50,1367,613,130,436,73,60,47,111,277
01,20,06,25,4242,976,69,66,69,28,43,216,173,61,68,48,286,71,70,343,128,123,13,1859,957,33,671,213,180,28,38,350
01,20,06,26,2760,890,91,51,95,30,55,248,46,59,16,68,104,28,43,414,161,138,12,632,230,41,249,54,47,25,91,130
01,20,06,27,2250,319,15,10,42,12,11,106,31,25,9,11,186,48,78,291,104,122,15,1112,331,36,593,157,180,21,12,174
01,20,06,28,1540,518,63,48,34,20,32,133,38,24,9,38,58,7,13,171,52,51,20,346,153,30,103,10,15,21,31,95
01,20,06,29,2956,951,119,51,108,62,92,185,41,33,27,65,92,15,19,377,141,140,12,611,184,50,215,21,63,34,87,99
01,30,07,30,5877,1465,54,88,77,28,43,293,426,249,55,54,351,82,136,454,141,171,12,2772,1405,36,895,254,192,20,41,387
01,30,07,31,5582,1524,63,104,148,36,94,311,309,200,62,52,397,93,153,419,116,179,22,2391,1208,37,827,210,235,11,45,289
01,30,07,32,6450,1655,85,273,136,51,81,293,390,87,62,65,514,147,159,405,162,123,40,2934,1347,45,1031,205,293,24,76,364
01,30,07,33,7435,1758,129,120,157,41,84,342,373,173,74,108,567,142,178,423,109,184,22,3477,2035,44,987,266,256,46,97,508
01,30,08,34,9676,1275,70,63,189,48,98,345,93,68,66,84,469,114,94,764,287,236,90,5548,3289,53,1733,665,378,45,103,969
01,30,08,35,6818,1318,103,55,135,47,89,398,92,111,85,77,352,59,124,613,203,200,76,3203,1932,49,845,218,142,28,79,616
01,30,08,36,10034,2247,158,99,242,72,103,510,390,182,116,93,698,192,185,768,293,282,50,4614,2239,80,1746,505,444,66,179,632
01,40,09,37,5824,1646,117,82,151,27,74,479,308,106,91,60,367,82,85,387,120,167,4,2256,1146,29,692,91,206,40,60,414
01,40,09,38,5310,1562,117,93,181,40,72,317,306,72,113,109,439,102,139,378,110,136,28,1999,982,51,661,172,124,49,99,273
01,40,09,39,3497,936,75,32,83,22,39,270,177,44,42,53,265,41,80,401,107,159,10,1270,510,31,412,83,111,21,43,134
01,40,09,40,2968,683,28,27,63,21,22,324,70,24,35,9,255,60,62,168,48,59,15,1298,691,23,433,62,94,27,23,372
01,40,09,41,1908,407,37,21,42,12,22,116,74,21,12,39,153,29,28,153,47,62,6,801,441,21,221,51,74,6,11,167
01,40,09,42,4900,1572,149,127,150,56,69,252,358,105,42,79,227,57,43,360,111,150,19,1707,754,49,600,123,169,58,80,220
01,40,10,43,5239,1211,73,80,136,34,49,223,347,68,66,54,439,148,125,284,66,133,11,2484,1429,27,737,292,135,28,40,392
01,40,10,44,7209,2015,108,130,201,70,75,392,454,242,73,74,521,179,153,495,166,177,23,3018,1501,37,1115,318,215,57,78,441
01,40,10,45,4216,888,64,90,75,19,51,176,135,103,18,54,176,79,51,341,118,120,16,2143,1052,23,760,205,195,22,47,296
01,40,10,46,4720,1441,124,51,155,65,66,357,210,117,51,81,227,25,84,375,83,209,12,1646,633,48,664,165,130,44,110,231
01,40,10,47,5822,1388,86,107,97,55,93,259,366,94,29,66,272,65,77,350,119,126,30,2149,854,99,811,212,219,49,64,292
01,40,10,48,5946,1776,167,130,192,76,102,354,347,87,51,96,397,110,130,283,128,82,23,2346,1273,40,682,208,124,43,80,268
01,40,10,49,4160,1156,64,105,55,14,43,201,319,191,33,41,207,61,74,323,67,169,3,1887,1072,51,478,103,140,27,31,226
02,10,01,01,5356,973,59,41,123,41,51,222,122,114,44,60,162,60,30,1159,245,664,44,2072,801,96,858,216,142,53,39,346
02,10,01,02,6228,1041,72,106,111,38,41,192,178,55,52,68,331,135,99,504,182,189,6,3055,1503,37,1324,477,267,48,108,690
02,10,01,03,3496,599,66,42,67,24,47,130,88,15,37,36,123,50,18,373,63,231,15,1755,1183,28,424,136,119,24,58,397
02,10,01,04,3905,493,33,21,77,29,29,107,70,9,10,24,72,21,13,224,43,55,0,2383,1860,34,331,40,117,37,32,478
02,10,01,05,6782,936,90,76,124,44,56,219,127,28,31,59,164,46,45,299,69,134,19,4004,3100,50,650,213,135,30,53,873
02,10,01,06,3201,472,58,63,65,33,41,51,69,26,9,42,65,22,15,77,20,42,0,1908,1330,34,506,168,105,0,42,404
02,20,02,07,1198,275,45,3,48,15,27,44,12,12,6,36,12,0,3,194,87,52,9,308,96,34,117,9,37,7,59,49
02,20,02,08,2682,805,125,46,125,37,55,108,52,40,53,80,134,34,31,239,61,99,7,749,375,25,253,63,104,9,102,171
02,20,02,09,4731,1728,190,105,361,85,125,258,59,81,89,159,242,41,53,315,101,120,19,1191,533,54,404,93,101,19,221,239
02,20,02,10,5622,1870,244,117,308,99,167,298,82,70,105,197,306,54,107,404,127,189,26,1520,820,96,439,123,92,35,243,306
02,20,02,11,6434,2033,359,112,295,163,229,213,53,50,107,279,259,44,44,292,107,112,7,1786,1150,58,436,94,120,27,484,387
02,20,02,12,4271,1154,147,73,211,66,108,146,30,36,38,104,163,29,55,155,42,56,6,1657,862,22,636,351,57,9,169,359
02,20,02,13,4705,1817,243,93,309,121,143,195,209,56,58,195,136,26,24,225,94,66,6,1232,807,39,295,70,73,20,239,232
02,30,03,14,4302,739,125,40,105,69,61,66,57,21,13,92,77,19,24,139,35,70,3,2452,2168,40,203,38,64,11,78,434
02,30,03,15,4779,1031,125,50,179,87,86,101,87,25,39,131,132,33,31,169,33,63,7,2391,1842,40,342,59,79,10,110,397
02,30,03,16,2176,573,62,39,94,22,58,69,57,15,12,65,46,20,7,97,21,52,6,920,719,10,130,27,31,9,60,191
02,30,04,17,4481,1125,138,53,257,82,84,114,86,28,9,135,123,46,34,140,48,50,13,1880,1332,40,397,105,80,3,200,343
02,30,04,18,3788,1120,145,68,181,87,123,126,41,48,31,177,118,24,26,175,62,86,6,1289,875,45,296,76,85,7,166,226
02,30,04,19,5574,1733,275,93,283,71,203,207,105,29,27,201,121,16,35,260,75,88,12,1969,1523,57,174,36,46,11,206,334
02,40,05,20,2436,520,27,9,53,30,37,73,82,34,28,7,103,19,21,409,155,129,30,622,92,39,313,27,160,375,40,89
02,40,05,21,3538,1018,122,36,149,52,91,133,81,75,34,64,199,54,50,512,189,162,26,594,125,28,249,15,101,373,80,172
02,40,05,22,3997,1360,163,71,216,80,123,235,43,45,22,126,122,47,21,479,191,157,42,646,152,24,276,18,108,323,156,120
02,40,06,23,6986,1431,127,49,170,46,105,273,191,99,29,94,414,63,95,1014,387,305,75,1997,466,92,903,57,411,808,126,303
02,40,06,24,4823,1592,176,60,274,96,211,177,92,63,31,176,133,29,33,602,228,182,45,1067,279,79,434,18,179,111,228,78
02,40,06,25,925,276,25,15,55,9,28,37,9,14,6,25,22,0,7,165,95,25,10,205,67,12,93,6,46,16,30,30
02,50,07,26,3741,1304,160,64,251,90,118,165,64,70,30,124,198,78,40,412,145,154,38,538,124,34,223,12,102,228,137,103
02,50,07,27,2685,955,145,25,191,57,112,119,34,30,7,92,100,24,36,367,155,117,19,431,87,22,149,15,55,95,138,71
02,50,07,28,3775,1531,218,56,264,74,174,244,56,77,32,164,114,18,32,430,173,145,31,542,130,42,256,12,84,61,176,61
02,50,07,29,2081,815,121,15,148,54,82,109,31,42,24,60,76,31,12,238,101,70,18,297,54,9,147,12,48,115,76,47
02,50,08,30,1852,688,114,20,127,37,87,48,28,31,25,82,126,43,38,191,92,48,15,236,73,10,89,6,47,41,105,35
02,50,08,31,3406,1162,147,37,227,59,120,166,52,48,15,128,187,79,49,335,89,109,30,599,90,27,270,6,129,164,178,63
